,anakjakartaasikasik,anak jakarta asyik asyik baru
11837,buktik,bukti
11838,buktikn,buktikan
11839,buuktikan,buktikan
11840,buku2,buku buku
11841,bukugpu,buku gpu
11842,bulaann,bulan
11843,bulanbaktikipm2018,bulan bakti kipm 
11844,buli,bully
11845,blukk,buluk
11846,buluq,buluk
11847,bumbuin,bumbui
11848,buminusantara,bumi nusantara
11849,bundokandung,bunda kandung
11850,bungkarno,bung karno
11851,bunggus,bungkus
11852,bundir,bunuh diri
11853,bunyi2,bunyi bunyi
11854,buraq,burak
11855,buroq,burak
11856,buritt,burit
11857,burqa,burka
11858,buru2,buru buru
11859,burukÃ¢,buruk
11860,birds,burung
11861,busa2,busa busa
11862,buseet,buset
11863,bosok,busuk
11864,busukk,busuk
11865,busuk2,busuk busuk
11866,butuhan,butuhkan
11867,btw,by the way
11868,cabecabeaan,cabe cabean
11869,cabutnobelsuukyi,cabut nobel suu kyi
11870,cacad,cacat
11871,ccd,cacat
11872,ceced,cacat
11873,cacimaki,caci maki
11874,cagarÃ¢Â budaya,cagar budaya
11875,cakimin,cak imin
11876,cakiminthenextwapres,cak imin the next wakil presiden
11877,cakiminthenextwaprescak,cak imin the next wakil presiden cak
11878,cakep2,cakap cakap
11879,cagub,calon gubernur
11880,cakada,calon kepala daerah
11881,caleg,calon legislatif
11882,capres,calon presiden
11883,capresgoblok,calon presiden goblok
11884,capresrakyat,calon presiden rakyat
11885,capresnya,calon presidennya
11886,cawagub,calon wakil gubernur
11887,cawgub,calon wakil gubernur
11888,cawapres,calon wakil presiden
11889,cawapres2019,calon wakil presiden 
11890,cawapresnya,calon wakil presidennya
11891,calonwalikotabandung,calon wali kota bandung
11892,calonwalikotabandung2018,calon wali kota bandung 
11893,calonin,calonkan
11894,cemilan,camilan
11895,cemilanku,camilanku
11896,cemilannya,camilannya
11897,campur2,campur campur
11898,cantuk,cantik
11899,capeq,capai
11900,cape2,capai capai
11901,capeknya,capainya
11902,capenya,capainya
11903,cfd,car free day
11904,cara2,cara cara
11905,charanya,caranya
11906,caper,cari perhatian
11907,capernya,cari perhatiannya
11908,carsen,cari sensasi
11909,catetan,catatan
11910,bongg,cebong
11911,cebon,cebong
11912,cebonk,cebong
11913,cebong2,cebong cebong
11914,bong200,cebong iq dua ratus
11915,cebongkoplo,cebong koplo
11916,cebongers,cebonger
11917,ceburin,ceburkan
11918,cecungung,cecunguk
11919,cegan,cegah
11920,cengkraman,cengkeraman
11921,cept,cepat
11922,cepet2an,cepat cepatan
11923,cepetin,cepatkan
11924,cepetlah,cepatlah
11925,cepusupriyanto,cepu supriyanto
11926,cerita2,cerita cerita
11927,ceritadewasa,cerita dewasa
11928,ceritain,ceritakan
11929,ceritany,ceritanya
11930,cecann,cewek cantik
11931,cewe2,cewek cewek
11932,cewek2,cewek cewek
11933,cewekseksi,cewek seksi
11934,cewenya,ceweknya
11935,chaink,chain
11936,ch,chapter
11937,chaarrmm,charm
11938,chatsex,chat sex
11939,cekidot,check it out
11940,celsi,chelsea
11941,choicefandom,choice fandom
11942,chouji,choji
11943,choper,chopper
11944,chubbyguy,chubby guy
11945,ciamisasyik,ciamis asyik
11946,cihh,cih
11947,ciy,cih
11948,ciletuhÃ¢Â palabuhanratu,ciletuh pelabuhan ratu
11949,cimohay,cimahi
11950,china,cina
11951,chinese,cina
11952,cina2,cina cina
11953,cino2,cina cina
11954,chinese2nya,cina cinanya
11955,cin,cinta
11956,cipkon,cipokan
11957,cirebonseni,cirebon seni
11958,ciri2,ciri ciri
11959,ciribkhas,ciri khas
11960,cita2nya,cita citanya
11961,citanya,citanya
11962,cnnindonesia,cnn indonesia
11963,cnnidbusiness,cnn indonesian business
11964,cnnidnewsroom,cnn indonesian news room
11965,cobaak,coba
11966,coba2,coba coba
11967,cocok2,cocok cocok
11968,cocoklogi,cocokologi
11969,cocotnx,cocotnya
11970,coffe,coffee
11971,cokiadem86,coki adem 
11972,colmek,colok memek
11973,colokmemek,colok memek
11974,colokkan,colokan
11975,comando,commando
11976,cmiiw,correct me if i am wrong
11977,cogant,cowok ganteng
11978,brainwash,cuci otak
11979,coeg,cuk
11980,cikai,cukai
11981,blacklist,daftar hitam
11982,cedak,dekat
11983,bibib,habib
11984,bhahahaha,haha
11985,bhahahahahahaa,haha
11986,bhahahahak,haha
11987,bhuakakakaka,haha
11988,brahahahaa,haha
11989,buahahaha,haha
11990,buuwhaha,haha
11991,bwahaha,haha
11992,bwahahahhahha,haha
11993,bwahahhahaha,haha
11994,buntingnya,hamilnya
11995,bondo,harta
11996,bzz,hem
11997,bumil,ibu hamil
11998,bible,injil
11999,bininya,istrinya
12000,ciah,jiah
12001,calculus,kalkulus
12002,campaign,kampanye
12003,campus,kampus
12004,campuss,kampus
12005,bikos,karena
12006,cillik,kecil
12007,claim,klaim
12008,clasic,klasik
12009,comment,komen
12010,camtu,macam itu
12011,ceu,mbak
12012,blendung,melendung
12013,cengkudu,mengkudu
12014,brand,merek
12015,brandnya,mereknya
12016,bilion,miliar
12017,bodat,monyet
12018,coach,pelatih
12019,blas,sama sekali
12020,blass,sama sekali
12021,cageur,sehat
12022,cembilan,sembilan
12023,centra2,sentra sentra
12024,cepi,sepi
12025,cetan,setan
12026,cekcih,sexy
12027,cipp,sip
12028,cipiit,sipit
12029,beye,susilo bambang yudhoyono
12030,beuh,weh
12031,beuhh,weh
12032,boakaka,wkwk
12033,brekekekekek,wkwk
12034,brekekekekekek,wkwk
12035,bruakakakak,wkwk
12036,ckakakakak,wkwk
12037,ckckc,wkwk
12038,ckckck,wkwk
12039,ckckckck,wkwk
12040,dedeq,adik
12041,debaynya,adik bayinya
12042,densus,betasemen khusus
12043,cpns,calon pegawai negeri sipil
12044,cramah,ceramah
12045,crita,cerita
12046,crta,cerita
12047,critanya,ceritanya
12048,cyduk,ciduk
12049,cuih,cih
12050,cuihh,cih
12051,cuyih,cih
12052,cuihwoosoeokjung,cih wooseok jung
12053,cyinta,cinta
12054,cyn,cinta
12055,comunity,community
12056,congornyapecah,congornya pecah
12057,congrat,congratulation
12058,congratulationsgeoparkciletuh,congratulations geopark ciletuh
12059,cp,contact person
12060,conth,contoh
12061,contoilah,contohilah
12062,copotkapoldajabar,copot kepala polisi daerah jawa barat
12063,copas,copy paste
12064,cowo2,cowok cowok
12065,cowok2,cowok cowok
12066,cowonya,cowoknya
12067,cuuyy,coy
12068,cuy,coy
12069,cpugg,cpu gg
12070,cringey,cringe
12071,cr,cristiano ronaldo
12072,cr7,cristiano ronaldo
12073,croot,crot
12074,croott,crot
12075,crott,crot
12076,cruz,crush
12077,cuap2,cuap cuap
12078,cuapcuap,cuap cuap
12079,cuwit,cuit
12080,cuit2,cuit cuit
12081,cukk,cuk
12082,cukop,cukup
12083,cukupsatuperiode,cukup satu periode
12084,cume,cuma
12085,cumabercandagaiss,cuma bercanda guys
12086,cumi2,cumi cumi
12087,cupuu,cupu
12088,curcol,curhat colongan
12089,curut2,curut curut
12090,cutepasutri,cute pasangat suami istri
12091,cyberarmy,cyber army
12092,daddies,daddy
12093,daerahÃ¢,daerah
12094,daerah2,daerah daerah
12095,daerahdki,daerah jakarta
12096,dapil,daerah pemilihan
12097,dapil1,daerah pemilihan
12098,daghh,dah
12099,dhla,dahlan
12100,dahsyat2,dahsyat dahsyat
12101,dahulukanrakyat,dahulukan rakyat
12102,dalm,dalam
12103,daleman,dalaman
12104,dalemnya,dalamnya
12105,dalang2nya,dalang dalangnya
12106,damaidaricirebon,damai dari cirebon
12107,danÃ¢,dan
12108,danhatikecilkubicara,dan hati kecilku bicara
12109,danainvestorasing,dana investor asing
12110,danÃ¢Â sosial,dana sosial
12111,danÃ¢Â wajah,dana wajah
12112,danain,danai
12113,dananyo,dananya
12114,danibawa,dani bawa
12115,dapurr,dapur
12116,darimana,dari mana
12117,darimna,dari mana
12118,daritadi,dari tadi
12119,darkside,dark side
12120,dharma,darma
12121,dharna,darma
12122,darulaman,darul aman
12123,daruratdemokrasi,darurat demokrasi
12124,daruratduniaperadilanindonesia,darurat dunia peradilan indonesia
12125,daruratpki,darurat partai komunis indonesia
12126,dasarr,dasar
12127,dasr,dasar
12128,dasadasar,dasar dasar
12129,data2,data data
12130,dfd,data flow diagram
12131,datangg,datang
12132,datoÃ¢,datu
12133,day6,day 
12134,daiyaku,dayaku
12135,dbodohi,dbodohi
12136,deathnote,death note
12137,debad,debat
12138,debatfinalpilkadajkt,debat final pemilihan kepala daerah jakarta
12139,difensif,defensif
12140,dgan,degan
12141,dekalarasi,deklarasi
12142,delici,delicious
12143,deliveringhappiness,delivering happiness
12144,demoo,demo
12145,demo2,demo demo
12146,democra,demokrasi
12147,demokrasiÃ¢,demokrasi
12148,denga,dengan
12149,denngan,dengan
12150,dgnya,dengannya
12151,denger2,dengar dengar
12152,dengernya,dengarnya
12153,depkes,departemen kesehatan
12154,desa2,desa desa
12155,detik2,detik detik
12156,detik2terahir,detik detik terakhir
12157,debatfinaldki,devat final daerah khusus ibukota
12158,diatas,di atas
12159,diawal,di awal
12160,dibandara,di bandara
12161,dibank,di bank
12162,dibatas,di batas
12163,dibawah,di bawah
12164,dibelakang,di belakang
12165,diblkg,di belakang
12166,dbogor,di bogor
12167,dibui,di bui
12168,dibumi,di bumi
12169,dicomberan,di comberan
12170,didaerah,di daerah
12171,didaerah2,di daerah daerah
12172,didalam,di dalam
12173,didlm,di dalam
12174,didanau,di danau
12175,didarat,di darat
12176,didepan,di depan
12177,didragon,di dragon
12178,didunia,di dunia
12179,didumay,di dunia maya
12180,diera,di era
12181,digarasi,di garasi
12182,digereja,di gereja
12183,dihalaman,di halaman
12184,dihalte,di halte
12185,dihatiku,di hatiku
12186,dihutan,di hutan
12187,diindonesia,di indonesia
12188,dijakarta,di jakarta
12189,dijalan,di jalan
12190,dijidat,di jidat
12191,dikamar,di kamar
12192,dikampung,di kampung
12193,dikantor,di kantor
12194,dikarang,di karang
12195,dikasus,di kasus
12196,dikedua,di kedua
12197,dikoter,di kelompok terbang
12198,dikolam,di kolam
12199,dikolong,di kolong
12200,dikotak,di kotak
12201,diÃ¢Â tmii,di taman mini indonesia indah
12202,dijaman,di zaman
12203,die2,dia dia
12204,diakuin,diakui
12205,dialog2,dialog dialog
12206,diam2,diam diam
12207,diem2an,diam diaman
12208,diamlo,diam lu
12209,diemlu,diam lu
12210,diamanin,diamankan
12211,diancem,diancam
12212,dianggsp,dianggap
12213,dantaranya,diantaranya
12214,dbhas,dibahas
12215,dibales,dibalas
12216,dibnding,dibanding
12217,dibangga2kan,dibangga banggakan
12218,dibangkitin,dibangkitkan
12219,dibangunin,dibangunkan
12220,dibatalin,dibatalkan
12221,dibayarin,dibayari
12222,dibecandain,dibecandai
12223,dibelain,dibela
12224,dibelanje,dibelanja
12225,dibeliin,dibelikan
12226,dibenerin,dibenarkan
12227,diberanguss,diberangus
12228,dibercandain,dibercandai
12229,diberhentiin,diberhentikan
12230,diberitain,diberitakan
12231,dbsk,dibesuk
12232,dibicarain,dibicarakan
12233,dbilang,dibilang
12234,diblng,dibilang
12235,dibilangin,dibilangi
12236,dibimbin,dibimbing
12237,diblock,diblok
12238,dibocorin,dibocorkan
12239,dibodo,dibodohi
12240,dibodoh,dibodohi
12241,diapusi,dibohongi
12242,dibikin,dibuat
12243,dibikinin,dibuatkan
12244,dibikinkan,dibuatkan
12245,dibubari,dibubarkan
12246,dibubarin,dibubarkan
12247,dibucinin,dibudakcintakan
12248,dibunderi,dibundari
12249,dbunuh,dibunuh
12250,dibutuhkn,dibutuhkan
12251,dicapreskan,dicalonpresidenkan
12252,dicarin,dicari
12253,dicekel,dicekal
12254,dicemburuin,dicemburui
12255,dicengkram,dicengkeram
12256,dicepetin,dicepatkan
12257,diceramahin,dicerahami
12258,diceritain,diceritakan
12259,diciumin,diciumi
12260,dicroottin,dicrotin
12261,dicrotin,dicrotin
12262,ddahului,didahului
12263,didlmnya,didalamnya
12264,didpt,didapat
12265,didptkn,didapatkan
12266,didasrkan,didasarkan
12267,didudukin,diduduki
12268,dduga,diduga
12269,dienyek,diejek
12270,di3nth0t,dientot
12271,dientotin,dientot
12272,dietot,dientot
12273,diewe,dientot
12274,dikentu,dientot
12275,digebukin,digebuki
12276,digedein,digedekan
12277,digentayangin,digentayangi
12278,digrebek,digerebek
12279,digreja,digereja
12280,dijit,digit
12281,digosipin,digosipkan
12282,dgnakan,digunakan
12283,dgunakan,digunakan
12284,digunakn,digunakan
12285,digusur2,digusur gusur
12286,dihadapai,dihadapi
12287,dihantem,dihantam
12288,diapusin,dihapusi
12289,dihebohin,dihebohkan
12290,dihina2,dihina hina
12291,diitung,dihitung
12292,diizabah,diijabah
12293,diiket,diikat
12294,diikutin,diikuti
12295,diendahkan,diindahkan
12296,diingatin,diingatkan
12297,diingatkn,diingatkan
12298,diingini,diinginkan
12299,diinjek,diinjak
12300,diijinkan,diizinkan
12301,dijagain,dijaga
12302,dijaj,dijajah
12303,dijalanin,dijalani
12304,dijelek2in,dijelek jelekkan
12305,dijualin,dijual
12306,dikobul,dikabul
12307,dikacangin,dikacangi
12308,dikadalin,dikadali
12309,dikasi,dikasih
12310,dikasianin,dikasihani
12311,dianjingin,dikatai anjing
12312,dikawalselia,dikawal selia
12313,dikejar2,dikejar kejar
12314,dikeluarin,dikeluarkan
12315,dibalikin,dikembalikan
12316,dikembalikannyaÃ¢,dikembalikannya
12317,diketekin,diketeki
12318,dikuatirkan,dikhawatirkan
12319,dihianati,dikhianati
12320,dikususkan,dikhususkan
12321,dikibulin,dikibuli
12322,dikipasin,dikipasi
12323,diclaim,diklaim
12324,dicodein,dikode
12325,diconfirm,dikonfirmasi
12326,dikuliahin,dikuliahi
12327,dilabelin,dilabeli
12328,dibriefing,dipengarahan
12329,depermasalahkan,dipermasalahkan
12330,dbdshow,dirtbag dan show
12331,digundrung,dirundung
12332,deskriminasi,diskriminasi
12333,didownload,diunduh
12334,daiping,diving
12335,devisi,divisi
12336,dfact,fact
12337,dich,ih
12338,dih,ih
12339,dadio,jadilah
12340,dancok,jancuk
12341,diiah,jiah
12342,cool,keren
12343,cool2,keren keren
12344,construction,konstruksi
12345,contactnya,kontaknya
12346,croatia,kroasia
12347,cuwat,kuat
12348,deui,lagi
12349,delok,lihat
12350,confusius,membingungkan
12351,countrynya,negaranya
12352,cunihin,penggoda
12353,dawuh,perintah
12354,dawuh2,perintah perintah
12355,cyg,sayang
12356,dikit2,sedikit sedikit
12357,dewek,sendiri
12358,cz,soalnya
12359,contekan,sontekan
12360,demennya,sukanya
12361,cumpah,sumpah
12362,dholim,zalim
12363,dholimi,zalimi
12364,duch,aduh
12365,edvan,advance
12366,ekeu,aku
12367,dm2an,berbalas pesan
12368,djan,bermain disc jockey
12369,ebong,cebong
12370,ebonk,cebong
12371,ebonger,cebonger
12372,dki,daerah khusus ibukota
12373,dki1,daerah khusus ibukota 
12374,dmai,damai
12375,dkk,dan kawan kawan
12376,dll,dan lain lain
12377,dlsb,dan lain sebagainya
12378,dsbnya,dan sebagainya
12379,dstnya,dan seterusnya
12380,dpat,dapat
12381,dpatkan,dapatkan
12382,drp,daripada
12383,drprd,daripada
12384,dpp,dasar pengenaan pajak
12385,dsrnya,dasarnya
12386,dtr,datar
12387,dtik,detik
12388,dkm,dewan kemakmuran masjid
12389,dmi,dewan masjid indonesia
12390,dpd,dewan perwakilan daerah
12391,dpr,dewan perwakilan rakyat
12392,dprd,dewan perwakilan rakyat daerah
12393,dprdnya,dewan perwakilan rakyat daerahnya
12394,dpc,dewan pimpinan cabang
12395,dkuburan,di kuburan
12396,dilock,di kunci
12397,dilaut,di laut
12398,diprotect,di lindungi
12399,dilokalisasi,di lokalisasi
12400,diluar,di luar
12401,dimall,di mal
12402,dimalaysia,di malaysia
12403,dimasa,di masa
12404,dimasyarakat,di masyarakat
12405,dimedan,di medan
12406,disosmed,di media sosial
12407,dimeki,di memek
12408,dimonas,di monas
12409,dimuka,di muka
12410,dinegara,di negara
12411,dinegeri,di negeri
12412,diorang,di orang
12413,diorganisasi,di organisasi
12414,diormas,di organisasi masyarakat
12415,dipagi,di pagi
12416,dipantat,di pantat
12417,dipenjara,di penjara
12418,dipenjaranya,di penjaranya
12419,diperkampungan,di perkampungan
12420,diradio,di radio
12421,direzim,di rezim
12422,dirohingnya,di rohingya
12423,dirumah,di rumah
12424,disa,di saat
12425,disaat,di saat
12426,disana,di sana
12427,disono,di sana
12428,disebelah,di sebelah
12429,disebuah,di sebuah
12430,disekte,di sekte
12431,disemua,di semua
12432,disepakbola,di sepak bola
12433,disimpang,di simpang
12434,disini,di sini
12435,disiniÃ°,di sini
12436,disinii,di sini
12437,disisa,di sisa
12438,disisi,di sisi
12439,disitu,di situ
12440,disolo,di solo
12441,distudio,di studio
12442,disuatu,di suatu
12443,disukmaku,di sukmaku
12444,ditahun,di tahun
12445,dtahun,di tahun
12446,ditanah,di tanah
12447,ditnh,di tanah
12448,ditanda,di tanda
12449,ditangang,di tangan
12450,ditelaga,di telaga
12451,ditvn,di televisi nasional
12452,dtgah,di tengah
12453,ditepi,di tepi
12454,diupi,di universitas pendidikan indonesia
12455,diwilayah,di wilayah
12456,dipasihan,diberi
12457,dipacking,dibungkus
12458,disepongin,diciumi
12459,dyk,did you know
12460,dirasisin,diejek
12461,dimaui,diinginkan
12462,dkasih,dikasih
12463,ditaktor,diktator
12464,dilakuin,dilakukan
12465,dlkukan,dilakukan
12466,dilakuinnya,dilakukannya
12467,dylan,dilan
12468,dilanti,dilantik
12469,dilaporin,dilaporkan
12470,dilanrang,dilarang
12471,dilar,dilarang
12472,dilati,dilatih
12473,dilayan,dilayani
12474,dilayanin,dilayani
12475,dilepasin,dilepaskan
12476,diskip,dilewati
12477,diliatin,dilihat
12478,dilupain,dilupakan
12479,dimain,dimainkan
12480,dimaini,dimainkan
12481,dimainin,dimainkan
12482,dimaki2,dimaki maki
12483,dimaklumin,dimaklumkan
12484,dimampusin,dimampuskan
12485,dimana2,dimana mana
12486,dimanfaatin,dimanfaatkan
12487,dimanjain,dimanjakan
12488,dimarahinn,dimarahi
12489,dimarain,dimarahi
12490,dimasukkin,dimasuki
12491,dingertiin,dimengerti
12492,dimintain,dimintai
12493,dilepeh,dimuntahkan
12494,dinamani,dinamai
12495,dinantikanÃ¢,dinantikan
12496,dpmptsp,dinas penanaman modal dan pelayanan terpadu satu pintu
12497,dinihari,dini hari
12498,dinyinyirin,dinyinyiri
12499,diubati,diobati
12500,diobok2,diobok obok
12501,diomongin,diomongi
12502,dipakenya,dipakainya
12503,dipamerin,dipameri
12504,diparkirin,diparkirkan
12505,dipasangan,dipasangkan
12506,dipasangin,dipasangkan
12507,diphk,dipecat
12508,dipeluhara,dipelihara
12509,dipiara,dipelihara
12510,dipilpres,dipemilihan presiden
12511,dpenuhi,dipenuhi
12512,dipaelokan,diperbaiki
12513,dpercaya,dipercaya
12514,dipercayain,dipercayai
12515,diperhatiin,diperhatikan
12516,diperhatika,diperhatikan
12517,dperhatikan,diperhatikan
12518,diperingatin,diperingatkan
12519,dwelling,diperingatkan
12520,diprakirakan,diperkirakan
12521,diperlakuin,diperlakukan
12522,dimasalahkan,dipermasalahkan
12523,dipersilahkan,dipersilakan
12524,diperasulit,dipersulit
12525,dprtmbngk,dipertimbangkan
12526,dpkir,dipikir
12527,dipilihÃ¢Â dprd,dipilih aja daripada
12528,dipimpinulama,dipimpin ulama
12529,dipindahin,dipindahkan
12530,diplomasipublik,diplomasi publik
12531,diporakporandakan,diporakporandakan
12532,diprovo,diprovokasi
12533,dipukulin,dipukuli
12534,dipulangin,dipulangkan
12535,diputer,diputar
12536,diracuni,diracun
12537,direjam,dirajam
12538,direcokin,direcoki
12539,dm,direct message
12540,dmcin,direct message sis
12541,dirakamkan,direkamkan
12542,ditjen,direktorat jenderal
12543,djp,direktorat jenderal pajak
12544,ditreskrimum,direktorat reserse kriminal umum
12545,dirjen,direktur jenderal
12546,dirut,direktur utama
12547,diremes,diremas
12548,direncanain,direncanakan
12549,diritwit,diretweet
12550,dirp,diri
12551,diributin,diributkan
12552,drmu,dirimu
12553,diringkes,diringkas
12554,dirmanida,dirman ida
12555,dirmannaikganjarpanik,dirman naik ganjar panik
12556,dsnajib,dis najib
12557,disalty,disabilitas
12558,disadarin,disadarkan
12559,disah,disahkan
12560,disakitin,disakiti
12561,disalh,disalah
12562,disalahin,disalahkan
12563,disholatin,disalati
12564,disam,disama
12565,disama2kan,disama samakan
12566,disamain,disamakan
12567,dismain,disamakan
12568,disatuin,disatukan
12569,dj,disc jockey
12570,disebarin,disebarkan
12571,dishare,disebarkan
12572,disebutin,disebutkan
12573,disekolahin,disekolahkan
12574,disela2,disela sela
12575,dselidiki,diselidiki
12576,diumpetin,disembunyikan
12577,dimute,disenyapkan
12578,disenyumin,disenyumi
12579,disruduk,diseruduk
12580,dstiap,disetiap
12581,disiapin,disiapkan
12582,disinisin,disinisi
12583,disipitin,disipitkan
12584,disiramin,disirami
12585,diskon2,diskon diskon
12586,diskrening,diskrining
12587,dis,diskualifikasi
12588,diskusikde,diskusi
12589,disodorin,disodorkan
12590,diplay,display
12591,district9,district
12592,dilike,disukai
12593,disukain,disukai
12594,dsusul,disusul
12595,ditabayunin,ditabayuni
12596,ditampol,ditabok
12597,ditambah2i,ditambah tambahkan
12598,ditanggapin,ditanggapi
12599,ditanggepi,ditanggapi
12600,ditanggepin,ditanggapi
12601,ditangkapin,ditangkap
12602,ditangkp,ditangkap
12603,ditaroin,ditaruhkan
12604,ditawarin,ditawari
12605,ditegor,ditegur
12606,ditelpon,ditelepon
12607,ditempatin,ditempatkan
12608,ditemuin,ditemukan
12609,ditenggelamin,ditenggelamkan
12610,diterapin,diterapkan
12611,diterapkanÃ¢,diterapkan
12612,diteriakin,diteriaki
12613,dterima,diterima
12614,dtrma,diterima
12615,ditetapkn,ditetapkan
12616,ditidurin,ditiduri
12617,ditinggalin,ditinggalkan
12618,diupgrade,ditingkatkan
12619,ditolerir,ditoleransi
12620,dtuduh,dituduh
12621,dtukarkn,ditukarkan
12622,ditungguin,ditunggu
12623,dirubah,diubah
12624,dirubh,diubah
12625,drobah,diubah
12626,diulang2,diulang ulang
12627,diungkit2,diungkit ungkit
12628,diushakan,diusahakan
12629,diusilin,diusili
12630,diutarain,diutarakan
12631,diwajibin,diwajibkan
12632,dwaspadai,diwaspadai
12633,djarotcalonnapi,djarot calon narapidana
12634,djarotsihar2,djarot sihar 
12635,djarotsiharmenang,djarot sihar menang
12636,dnnya,dnanya
12637,dinungo,doa
12638,dodigiri4sumsel,dodi giri  sumatera selatan
12639,doesn,does not
12640,dog,dog
12641,dorg,dog
12642,dogfighting,dog fighting
12643,doiÃ°,doi
12644,doido,doi
12645,dokter2,dokter dokter
12646,dokter2nya,dokter dokternya
12647,dra,doktoranda
12648,drs,doktorandes
12649,doktrin2,doktrin doktrin
12650,dollar,dolar
12651,dool,doll
12652,domba2,domba domba
12653,donal,donald
12654,donkz,dong
12655,dunn,dong
12656,dongo,dongok
12657,dongokk,dongok
12658,dongoo,dongok
12659,dongook,dongok
12660,dongoin,dongokkan
12661,donii,doni
12662,donordarah,donor darah
12663,doronguntuk,dorong untuk
12664,dosa2,dosa dosa
12665,dosadosa,dosa dosa
12666,doublefuck,double fuck
12667,doer,dower
12668,dramaahokdikriminalisasi,drama ahok dikriminalisasi
12669,drakor,drama korea
12670,drifit,dri fit
12671,duaÃ¢,dua
12672,dua2,dua dua
12673,duduk2,duduk duduk
12674,dudukin,duduki
12675,dkung,dukung
12676,dukuung,dukung
12677,dukung2,dukung dukung
12678,dukungsidangistimewampr,dukung sidang istimewa majelis permusyawaratan rakyat
12679,dluu,dulu
12680,dolo,dulu
12681,dulu2,dulu dulu
12682,duluin,dulukan
12683,dlulah,dululah
12684,dumxcamping,dum camping
12685,dumbception,dumb ception
12686,dunguÃ¢,dungu
12687,dungu2periode,dungu dua periode
12688,dunyo,dunia
12689,dumay,dunia maya
12690,dunningkrugereffect,dunning kruger effect
12691,dustakaan,dustakan
12692,dubes,duta besar
12693,eaa,eak
12694,eaak,eak
12695,eaakk,eak
12696,eeaa,eak
12697,ehak,eak
12698,ecehh,ececeh
12699,ecek2,ecek ecek
12700,edann,edan
12701,eds,edisi
12702,edotensei,edo tensei
12703,efec,efek
12704,efekbacaberita,efek baca berita
12705,effektif,efektif
12706,egoism,egoisme
12707,eeh,eh
12708,eanjink,eh anjing
12709,eastaga,eh astaga
12710,egataunye,eh enggak taunya
12711,eemelawan,eh melawan
12712,eifell,eiffel
12713,eittss,eits
12714,ekjayati,ekajati
12715,economic,ekonomi
12716,economics,ekonomi
12717,economy,ekonomi
12718,ekonomiÃ¢,ekonomi
12719,egp,emang gue pikir
12720,dunno,enggak tau
12721,eheh,hehe
12722,ehehe,hehe
12723,eheheh,hehe
12724,ehhe,hehe
12725,eehm,hem
12726,ehem,hem
12727,eeyeww,iyuh
12728,djiaa,jiah
12729,djoss,keren
12730,ebih,lebih
12731,dimples,lesung pipi
12732,eii,oi
12733,editing,pengeditan
12734,dklovers,penggemar dk
12735,disbitch,perek
12736,dlongap,plonga
12737,dlongop,plongo
12738,drivernya,sopirnya
12739,ee,tai
12740,eek,tai
12741,eeq,tai
12742,download,unduh
12743,dzalim,zalim
12744,dzholimnya,zalimnya
12745,dzat,zat
12746,dzikir,zikir
12747,event2,acara acara
12748,eventnya,acaranya
12749,elah,alah
12750,elaj,alah
12751,enjing,anjing
12752,geni,api
12753,eyo,ayo
12754,gemana,bagaimana
12755,gima,bagaimana
12756,gimame,bagaimana
12757,gmni,bagaimana nih
12758,gimanasi,bagaimana sih
12759,gmnsi,bagaimana sih
12760,ginich,begini
12761,gini2,begini begini
12762,ginilah,beginilah
12763,getoo,begitu
12764,gt2,begitu begitu
12765,gtuan,begituan
12766,gsnya,bintang tamunya
12767,foong,bohong
12768,form,borang
12769,formnya,borangnya
12770,fakuy,cihui
12771,getih,darah
12772,erau,derau
12773,ekonomiri,ekonomi
12774,ekosistim,ekosistem
12775,ekotrenganjaryasinno1,ekotren ganjar yasin no 
12776,exis,eksis
12777,exist,eksis
12778,eksklusifitas,eksklusivitas
12779,exodus,eksodus
12780,exorcism,eksorsisme
12781,exorcist,eksorsisme
12782,exotic,eksotik
12783,expansi,ekspansi
12784,expat,ekspat
12785,ekspresiny,ekspresinya
12786,expresinya,ekspresinya
12787,extra,ekstra
12788,extravaganzabanyumas,ekstra vaganza banyumas
12789,extrac,ekstrak
12790,ekstrim,ekstrem
12791,ekstrem2an,ekstrem ekstreman
12792,ekstrimis,ekstremis
12793,extrimis,ekstremis
12794,ekstrimisme,ekstremisme
12795,extrovert,ekstrover
12796,emtek,elang mahkota teknologi
12797,eletabilitas,elektabilitas
12798,elektabilitaanya,elektabilitasnya
12799,ektp,elektonik kartu tanda penduduk
12800,elshintaituakurat,elshinta itu akurat
12801,elusin,elusi
12802,emabel,embel
12803,embel2,embel embel
12804,embel2nya,embel embelnya
12805,embelÃ¢Â²,embel embelnya
12806,emotion,emosi
12807,esmosi,emosi
12808,empathy,empati
12809,emut2,emut emut
12810,emutin,emutkan
12811,ena,ena
12812,enaenain,ena ena
12813,enaak,enak
12814,enak2,enak enak
12815,engcer,encer
12816,esdm,energi dan sumber daya mineral
12817,emggak,enggak
12818,enga,enggak
12819,gakan,enggak akan
12820,gppalah,enggak apalah
12821,gabakalan,enggak bakalan
12822,gabener,enggak benar
12823,gabenernya,enggak benarnya
12824,gaiza,enggak bisa
12825,gbisa,enggak bisa
12826,gabole,enggak boleh
12827,gacuma,enggak cuma
12828,gadeng,enggak deng
12829,gakdeng,enggak deng
12830,gak2,enggak enggak
12831,gaabis,enggak habis
12832,gakhabispikir,enggak habis pikir
